timestamp,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
00:00.0,3140.4,0.9,0.2,-1,12,14,-44
00:00.5,3128.2,0.9,0,-0.7,23,29,19
00:01.0,3137.1,1.2,0.3,-0.5,-23,-3,-6
00:01.5,3162.6,1,0.2,-0.5,-16,33,0
00:02.0,3166.8,1,0.1,-0.6,6,19,22
00:02.5,3144.7,1.2,0.2,-0.5,-1,5,-5
00:03.0,3170.8,0.7,0.4,-0.5,-34,-9,-8
00:03.5,3154.3,1,0,-0.7,28,-18,16
00:04.0,3137.4,1.5,0.3,-0.2,-32,5,-14
00:04.5,3173.1,1.1,0.2,-0.4,-24,30,24
00:05.0,3161.5,1.1,0,-0.2,-1,9,18
00:05.5,3155.6,1.1,0.3,-0.5,11,6,-2
00:06.0,3147.8,1.6,-0.1,-0.3,-28,-65,35
00:06.5,3170.2,1.6,0,-0.2,20,20,-2
00:07.0,3150.9,1.5,-0.1,-0.6,16,-28,0
00:07.5,3129.3,1.1,0.1,-0.7,-24,7,-20
00:08.0,3176.2,1.2,-0.1,-0.5,-26,-23,-3
00:08.5,3154.1,1.4,0.2,-0.3,-10,23,-9
00:09.0,3176.7,0.7,0.1,-0.6,4,24,-20
00:09.5,3136.7,1.1,0,-0.4,16,-2,-3
00:10.0,3133,0.9,0,-0.4,-41,-19,-1
00:10.5,3164.3,1.1,0,-0.7,-3,13,-8
00:11.0,3140.2,0.7,0,-0.6,-19,7,-20
00:11.5,3139.5,0.8,0.1,-0.5,-15,-19,18
00:12.0,3177.6,0.9,0.2,-0.5,-38,-22,-18
00:12.5,3132.7,1.3,0.3,-0.6,-16,-3,14
00:13.0,3139.3,1.3,-0.1,-0.1,-43,-8,3
00:13.5,3158.5,1.2,0,-0.6,20,17,-4
00:14.0,3135,1.1,0.3,-0.2,-34,-10,15
00:14.5,3173.8,0.8,0,-0.2,-10,-10,-4
00:15.0,3152.1,0.9,0,-0.7,-25,-19,22
00:15.5,3139.7,0.7,0,-0.5,26,-5,-6
00:16.0,3164.9,1.1,0.2,-0.1,-4,27,17
00:16.5,3155.6,0.9,0.2,-0.4,20,-10,-11
00:17.0,3149.7,0.9,0,-0.2,3,15,13
00:17.5,3171.4,1.2,0.1,-0.6,-33,11,14
00:18.0,3167.1,1.3,0.4,-0.5,-19,-26,9
00:18.5,3178.6,0.9,0.1,-0.6,-21,11,-12
00:19.0,3151.1,1,-0.1,-0.6,27,-13,13
00:19.5,3175.3,1.4,0,-0.5,30,-14,-8
00:20.0,3179.6,1.2,0.4,-0.6,21,-27,18
00:20.5,3177.9,1.2,-0.1,-0.2,-13,18,14
00:21.0,3162.9,1.2,0.2,-0.2,24,-16,14
00:21.5,3177.3,1,0.3,-0.6,23,-4,-9
00:22.0,3154.6,0.8,0,-0.2,-28,-6,-13
00:22.5,3162.3,1.1,-0.2,-0.2,-3,-2,8
00:23.0,3162.8,0.7,0,-0.6,-29,33,3
00:23.5,3170.8,1.2,0.2,-0.7,17,4,-12
00:24.0,3149.5,1.2,0.2,-0.3,4,16,5
00:24.5,3194.4,1.5,0.3,-0.3,-3,33,7
00:25.0,3192.6,1.3,-0.1,-0.4,25,-15,17
00:25.5,3148.7,1,0.3,-0.7,-30,-5,2
00:26.0,3178.7,1.5,0.3,-0.6,-4,32,9
00:26.5,3178.8,1,-0.1,-0.6,-35,-22,20
00:27.0,3167,1.5,-0.1,-0.5,-17,-24,22
00:27.5,3158.6,1.6,-0.1,-0.4,-33,-14,8
00:28.0,3167.2,1.2,0.1,-0.6,3,-22,15
00:28.5,3185.7,0.9,-0.2,-0.6,-10,-5,7
00:29.0,3153,0.9,0,-0.1,-27,-14,1
00:29.5,3194.8,1.3,-0.2,-0.6,-35,-17,6
00:30.0,3177.4,1,-0.1,-0.3,-14,-16,-9
00:30.5,3154.2,1.4,-0.1,-0.5,-31,7,22
00:31.0,3160.1,1.4,0.2,-0.5,23,-7,-4
00:31.5,3177.4,1,0,-0.7,-37,-26,14
00:32.0,3167,1.5,0.1,-0.5,6,19,19
00:32.5,3172.2,1.4,-0.1,-0.6,-36,-8,0
00:33.0,3171.9,1.1,-0.2,-0.2,-2,19,-8
00:33.5,3175.4,1.4,0.3,-0.5,-2,34,4
00:34.0,3194,1.2,0.1,-0.3,28,-8,13
00:34.5,3167.1,0.7,0.2,-0.5,0,-19,7
00:35.0,3171.5,0.6,0,-0.6,-22,1,-22
00:35.5,3199,1.1,0.2,-0.5,13,-11,-12
00:36.0,3202.6,1,0,-0.7,-22,28,5
00:36.5,3175.9,0.7,0,-0.3,31,14,18
00:37.0,3168,1.3,-0.1,-0.3,11,-26,-17
00:37.5,3161.8,0.9,0.2,-0.6,14,-13,-4
00:38.0,3205.9,0.8,-0.2,-0.3,-5,-10,17
00:38.5,3202.8,0.9,0.2,-0.7,-14,-20,17
00:39.0,3193.9,0.9,0,-0.6,-13,-9,13
00:39.5,3183.3,1.4,0.3,-0.3,21,-7,3
00:40.0,3205.4,1,0.2,-0.6,-36,-16,-12
00:40.5,3194,1,-0.1,-0.2,24,27,-14
00:41.0,3181.3,1.1,0,-0.1,22,-29,18
00:41.5,3171.8,1.2,0.2,-0.5,25,-7,21
00:42.0,3187.7,0.9,0.3,-0.1,-32,5,-5
00:42.5,3190.2,0.8,0,-0.5,-17,-5,15
00:43.0,3210.1,0.7,-0.1,-0.4,-32,36,13
00:43.5,3183.9,1.1,0.4,-0.7,-39,24,14
00:44.0,3211,1,0.2,-0.2,9,34,2
00:44.5,3211.9,0.8,0.2,-0.6,-20,25,8
00:45.0,3202.3,0.9,0.3,-0.2,-19,19,-3
00:45.5,3191.5,1.2,0,-0.5,-15,25,0
00:46.0,3201,1.5,0.1,-0.3,10,16,-9
00:46.5,3185.1,1.3,0,-0.3,-11,-22,15
00:47.0,3187.8,1.4,-0.2,-0.2,-16,-25,-2
00:47.5,3217.4,0.9,0.3,-0.2,-24,-19,-12
00:48.0,3206.2,1.5,-0.1,-0.2,1,5,-12
00:48.5,3206.5,1.1,0,-0.3,23,-17,-12
00:49.0,3207.3,1.4,0,-0.5,33,-3,0
00:49.5,3205,1.2,-0.2,-0.6,-8,-24,12
00:50.0,3211.3,1.3,-0.2,-0.7,0,-17,20
00:50.5,3178.9,1.2,0.1,-0.5,-22,-14,0
00:51.0,3212,0.8,0.2,-0.3,15,11,-10
00:51.5,3191.3,1,-0.2,-0.3,-11,-25,-15
00:52.0,3193.2,1.3,-0.1,-0.4,12,-22,-5
00:52.5,3198.6,0.9,0.4,-0.6,24,-16,19
00:53.0,3176.9,0.8,0.2,-0.1,16,7,24
00:53.5,3194.5,0.8,0.1,-0.6,-18,28,-1
00:54.0,3215.8,1.1,-0.1,-0.3,29,3,3
00:54.5,3218.6,1.3,0,-0.5,-16,20,5
00:55.0,3200.2,1.1,0.2,-0.3,-38,-5,6
00:55.5,3208.4,1.4,0,-0.2,-25,7,-13
00:56.0,3192.8,1.1,0.2,-0.3,-3,36,-3
00:56.5,3202.6,1.4,0.4,-0.2,25,28,-9
00:57.0,3190.7,0.9,0.1,-0.3,-6,-15,6
00:57.5,3204.2,0.7,0.1,-0.2,-44,8,-7
00:58.0,3184.9,0.8,0.3,-0.5,-2,-19,-9
00:58.5,3227.8,1.3,0.2,-0.4,6,24,-4
00:59.0,3214.6,1.1,0,-0.6,-31,22,2
00:59.5,3210.6,0.7,0,-0.3,20,24,-17
01:00.0,3195.4,1,-0.1,-0.5,-21,-26,-13
01:00.5,3183.2,1.4,0.1,-0.6,9,-2,-19
01:01.0,3224.7,1.2,0,-0.3,-12,1,7
01:01.5,3222.1,1,0.2,-0.6,-8,-24,3
01:02.0,3227.1,1.2,0.2,-0.5,11,1,14
01:02.5,3201.8,0.9,0.2,-0.4,8,23,16
01:03.0,3226.4,1,-0.1,-0.6,-23,5,-9
01:03.5,3226.4,1,0.3,-0.2,20,19,-6
01:04.0,3219,1.2,0.2,-0.1,-24,29,11
01:04.5,3185.2,1.3,0,-0.6,25,17,4
01:05.0,3231.9,0.7,-0.2,-0.5,18,22,-13
01:05.5,3215.9,1.2,0.2,-0.6,-5,20,19
01:06.0,3218.6,0.8,0.1,-0.2,-12,-3,-11
01:06.5,3193.8,1.2,0,-0.2,-13,-4,10
01:07.0,3228.2,1.3,0.2,-0.2,-14,18,-15
01:07.5,3214.9,1.1,-0.2,-0.6,-15,26,12
01:08.0,3221.1,1.4,0,-0.5,-15,18,-3
01:08.5,3228.1,0.9,0.3,-0.7,-9,-2,-15
01:09.0,3230.2,1,0.1,-0.2,-16,3,12
01:09.5,3204.8,1,0.2,-0.5,31,-8,-10
01:10.0,3230.5,1.1,0.3,-0.3,-38,-3,17
01:10.5,3214,0.8,0.1,-0.4,-31,-14,-13
01:11.0,3206.8,1.3,0.2,-0.6,3,2,14
01:11.5,3234.9,1.4,0.2,-0.1,-36,-15,-8
01:12.0,3230.9,1.3,0.4,-0.4,-7,9,-18
01:12.5,3193.1,1.3,0,-0.5,-43,29,0
01:13.0,3214.5,0.9,0.1,-0.1,12,-26,-10
01:13.5,3230.7,1,-0.1,-0.5,-40,-19,10
01:14.0,3205.5,1.2,0.1,-0.3,-41,-13,6
01:14.5,3207.5,1,0.3,-0.3,18,19,18
01:15.0,3230.1,1.5,0.1,-0.4,-2,27,9
01:15.5,3227.3,1.3,-0.1,-0.2,-39,9,-18
01:16.0,3203.8,1.3,-0.1,-0.7,-32,12,-17
01:16.5,3240.7,1.4,0.2,-0.6,-36,-19,8
01:17.0,3219,1,0,-0.6,13,19,8
